;Media;Mediana
Total;16937;14785
Andalucía;13977;11625
Aragón;17672;15867
Asturias, Principado de;17343;15925
Balears, Illes;19554;17039
Canarias;13546;12047
Cantabria;16400;14603
Castilla y León;17264;15283
Castilla - La Mancha;14305;12646
Cataluña;19791;18302
Comunitat Valenciana;15038;13748
Extremadura;12376;10265
Galicia;16758;15053
Madrid, Comunidad de;19648;16892
Murcia, Región de;14041;12630
Navarra, Comunidad Foral de;20094;19261
País Vasco;21760;19586
Rioja, La;17490;15410
Ceuta;14991;10339
Melilla;19500;16840
