;DepresiónSí;DepresionNo ;AnsiedadSí;AnsiedadNo ;OtrosSMSí;OtrosSMNo 
Total;6,68;93,32;6,74;93,26;2,08;97,92
Andalucía;7,94;92,06;7,43;92,57;2,57;97,43
Aragón;5,41;94,59;4,84;95,16;2,27;97,73
Asturias, Principado de;13,40;86,60;14,89;85,11;2,60;97,40
Balears, Illes;3,88;96,12;6,56;93,44;0,78;99,22
Canarias;5,57;94,43;6,78;93,22;1,66;98,34
Cantabria;7,83;92,17;8,27;91,73;2,45;97,55
Castilla y León;6,27;93,73;6,23;93,77;1,87;98,13
Castilla-La Mancha;7,05;92,95;6,15;93,85;1,22;98,78
Cataluña;5,74;94,26;6,67;93,33;2,25;97,75
Comunitat Valenciana;5,55;94,45;7,00;93,00;1,76;98,24
Extremadura;5,72;94,28;6,34;93,66;1,94;98,06
Galicia;12,93;87,07;10,35;89,65;2,77;97,23
Madrid, Comunidad de;4,72;95,28;4,03;95,97;1,83;98,17
Murcia, Región de;6,14;93,86;6,34;93,66;1,84;98,16
Navarra, Comunidad Foral de;6,98;93,02;6,72;93,28;2,29;97,71
País Vasco;6,08;93,92;6,03;93,97;2,07;97,93
Rioja, La;5,27;94,73;3,56;96,44;1,78;98,22
Ceuta;4,43;95,57;4,03;95,97;1,58;98,42
Melilla;5,25;94,75;3,58;96,42;0,00;100,00
