;SI ;NO 
Total;19,81;80,19
Andalucía;18,97;81,03
Aragón;22,27;77,73
Asturias, Principado de;22,78;77,22
Balears, Illes;11,36;88,64
Canarias;18,72;81,28
Cantabria;22,91;77,09
Castilla y León;20,08;79,92
Castilla-La Mancha;22,69;77,31
Cataluña;19,28;80,72
Comunitat Valenciana;19,81;80,19
Extremadura;20,53;79,47
Galicia;24,24;75,76
Madrid, Comunidad de;18,73;81,27
Murcia, Región de;19,82;80,18
Navarra, Comunidad Foral de;20,94;79,06
País Vasco;20,82;79,18
Rioja, La;17,18;82,82
Ceuta;23,45;76,55
Melilla;13,91;86,09
