Comunidades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet;8.934.125
Total nacional;Viviendas con conexión de Banda Ancha;97,1
Total nacional;Conexión de banda ancha por ADSL;75,9
Total nacional;Conexión de banda ancha por red de cable;17,4
Total nacional;Telefonía móvil de banda ancha UMTS, 3G, 3,5G;11,8
Total nacional;Otras conexiones de banda ancha (vía satélite, etc.);1,8
Total nacional;Viviendas con conexión de Banda Estrecha;4,3
Total nacional;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;2,4
Total nacional;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);2,1
Andalucía;Total de viviendas que disponen de acceso a Internet;1.407.259
Andalucía;Viviendas con conexión de Banda Ancha;97,0
Andalucía;Conexión de banda ancha por ADSL;76,4
Andalucía;Conexión de banda ancha por red de cable;16,1
Andalucía;Telefonía móvil de banda ancha UMTS, 3G, 3,5G;9,6
Andalucía;Otras conexiones de banda ancha (vía satélite, etc.);1,6
Andalucía;Viviendas con conexión de Banda Estrecha;3,5
Andalucía;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,7
Andalucía;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);1,9
Aragón;Total de viviendas que disponen de acceso a Internet;262.025
Aragón;Viviendas con conexión de Banda Ancha;96,4
Aragón;Conexión de banda ancha por ADSL;74,2
Aragón;Conexión de banda ancha por red de cable;15,4
Aragón;Telefonía móvil de banda ancha UMTS, 3G, 3,5G;23,1
Aragón;Otras conexiones de banda ancha (vía satélite, etc.);3,1
Aragón;Viviendas con conexión de Banda Estrecha;8,3
Aragón;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;4,2
Aragón;Otro tipo de telefonía móvil de banda estrecha (WAP, GPRS);4,1
Asturias (Principado de);Total de viviendas que disponen de acceso a Internet;216.930
Asturias (Principado de);Viviendas con conexión de Banda Ancha;95,9
Asturias (Principado de);Conexión de banda ancha por ADSL;49,7
Asturias (Principado de);Conexión de banda ancha por red de cable;43,0
Asturias (Principado de);Telefonía móvil de banda ancha UMTS, 3G, 3,5G;9,7
Asturias (Principado de);Otras conexiones de banda ancha (vía satélite, etc.);1,7
Asturias (Principado de);Viviendas con conexión de Banda Estrecha;6,2
