Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;9.654.288
Total nacional;Viviendas con conexión de banda ancha;98,9
Total nacional;Conexión de banda ancha por ADSL;74,9
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;15,7
Total nacional;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);13,1
Total nacional;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);8,6
Total nacional;Viviendas con conexión de banda estrecha;2,8
Total nacional;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,3
Total nacional;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,6
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.487.467
Andalucía;Viviendas con conexión de banda ancha;98,4
Andalucía;Conexión de banda ancha por ADSL;71,4
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;14,6
Andalucía;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);12,4
Andalucía;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);9,4
Andalucía;Viviendas con conexión de banda estrecha;2,8
Andalucía;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,6
Andalucía;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,2
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;280.475
Aragón;Viviendas con conexión de banda ancha;98,7
Aragón;Conexión de banda ancha por ADSL;76,7
Aragón;Conexión de banda ancha por red de cable o fibra óptica;10,3
Aragón;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);12,1
Aragón;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);8,2
Aragón;Viviendas con conexión de banda estrecha;3,8
Aragón;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;1,8
Aragón;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);2,0
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;233.660
Asturias, Principado de;Viviendas con conexión de banda ancha;98,8
Asturias, Principado de;Conexión de banda ancha por ADSL;51,2
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;38,8
