Clase de población;Comunidades y Ciudades Autónomas;Competencias digitales;Total
Total de personas (16 a 74 años);Total nacional;HABILIDADES DIGITALES: Habilidad Avanzada;36,1
Total de personas (16 a 74 años);Total nacional;HABILIDADES DE INFORMACIÓN: Avanzada;73,6
Total de personas (16 a 74 años);Total nacional;HABILIDADES DE COMUNICACIÓN: Avanzada;66,5
Total de personas (16 a 74 años);Total nacional;HABILIDADES DE RESOLUCIÓN: Avanzada;59,5
Total de personas (16 a 74 años);Total nacional;COMPETENCIAS INFORMÁTICAS: Avanzada;43,7
Total de personas (16 a 74 años);Andalucía;HABILIDADES DIGITALES: Habilidad Avanzada;34,0
Total de personas (16 a 74 años);Andalucía;HABILIDADES DE INFORMACIÓN: Avanzada;70,9
Total de personas (16 a 74 años);Andalucía;HABILIDADES DE COMUNICACIÓN: Avanzada;66,0
Total de personas (16 a 74 años);Andalucía;HABILIDADES DE RESOLUCIÓN: Avanzada;57,9
Total de personas (16 a 74 años);Andalucía;COMPETENCIAS INFORMÁTICAS: Avanzada;39,1
Total de personas (16 a 74 años);Aragón;HABILIDADES DIGITALES: Habilidad Avanzada;35,8
Total de personas (16 a 74 años);Aragón;HABILIDADES DE INFORMACIÓN: Avanzada;73,3
Total de personas (16 a 74 años);Aragón;HABILIDADES DE COMUNICACIÓN: Avanzada;67,7
Total de personas (16 a 74 años);Aragón;HABILIDADES DE RESOLUCIÓN: Avanzada;57,7
Total de personas (16 a 74 años);Aragón;COMPETENCIAS INFORMÁTICAS: Avanzada;43,6
Total de personas (16 a 74 años);Asturias, Principado de;HABILIDADES DIGITALES: Habilidad Avanzada;32,3
Total de personas (16 a 74 años);Asturias, Principado de;HABILIDADES DE INFORMACIÓN: Avanzada;72,8
Total de personas (16 a 74 años);Asturias, Principado de;HABILIDADES DE COMUNICACIÓN: Avanzada;61,8
Total de personas (16 a 74 años);Asturias, Principado de;HABILIDADES DE RESOLUCIÓN: Avanzada;55,1
Total de personas (16 a 74 años);Asturias, Principado de;COMPETENCIAS INFORMÁTICAS: Avanzada;42,1
Total de personas (16 a 74 años);Balears, Illes;HABILIDADES DIGITALES: Habilidad Avanzada;34,4
Total de personas (16 a 74 años);Balears, Illes;HABILIDADES DE INFORMACIÓN: Avanzada;76,8
Total de personas (16 a 74 años);Balears, Illes;HABILIDADES DE COMUNICACIÓN: Avanzada;70,2
Total de personas (16 a 74 años);Balears, Illes;HABILIDADES DE RESOLUCIÓN: Avanzada;56,7
Total de personas (16 a 74 años);Balears, Illes;COMPETENCIAS INFORMÁTICAS: Avanzada;41,7
Total de personas (16 a 74 años);Canarias;HABILIDADES DIGITALES: Habilidad Avanzada;29,7
Total de personas (16 a 74 años);Canarias;HABILIDADES DE INFORMACIÓN: Avanzada;71,6
Total de personas (16 a 74 años);Canarias;HABILIDADES DE COMUNICACIÓN: Avanzada;64,2
