Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;12.534.134
Total nacional;Conexión de banda ancha por ADSL;58,4
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;27,9
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.115.878
Andalucía;Conexión de banda ancha por ADSL;59,1
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;20,9
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;358.020
Aragón;Conexión de banda ancha por ADSL;64,6
Aragón;Conexión de banda ancha por red de cable o fibra óptica;27,9
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;302.069
Asturias, Principado de;Conexión de banda ancha por ADSL;44,9
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;40,4
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;304.866
Balears, Illes;Conexión de banda ancha por ADSL;63,2
Balears, Illes;Conexión de banda ancha por red de cable o fibra óptica;28,5
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;586.410
Canarias;Conexión de banda ancha por ADSL;63,9
Canarias;Conexión de banda ancha por red de cable o fibra óptica;17,1
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;171.297
Cantabria;Conexión de banda ancha por ADSL;59,4
Cantabria;Conexión de banda ancha por red de cable o fibra óptica;31
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;618.156
Castilla y León;Conexión de banda ancha por ADSL;60
Castilla y León;Conexión de banda ancha por red de cable o fibra óptica;24,2
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;497.051
Castilla-La Mancha;Conexión de banda ancha por ADSL;71
Castilla-La Mancha;Conexión de banda ancha por red de cable o fibra óptica;19,2
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.043.900
Cataluña;Conexión de banda ancha por ADSL;66,6
Cataluña;Conexión de banda ancha por red de cable o fibra óptica;25,6
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.318.129
Comunitat Valenciana;Conexión de banda ancha por ADSL;53,6
Comunitat Valenciana;Conexión de banda ancha por red de cable o fibra óptica;27,6
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;261.530
Extremadura;Conexión de banda ancha por ADSL;66,6
Extremadura;Conexión de banda ancha por red de cable o fibra óptica;12,6
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;692.471
Galicia;Conexión de banda ancha por ADSL;52,9
Galicia;Conexión de banda ancha por red de cable o fibra óptica;29,3
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.932.898
Madrid, Comunidad de;Conexión de banda ancha por ADSL;52,1
Madrid, Comunidad de;Conexión de banda ancha por red de cable o fibra óptica;42,2
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;369.032
Murcia, Región de;Conexión de banda ancha por ADSL;48,1
Murcia, Región de;Conexión de banda ancha por red de cable o fibra óptica;23,3
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;176.932
Navarra, Comunidad Foral de;Conexión de banda ancha por ADSL;64,8
Navarra, Comunidad Foral de;Conexión de banda ancha por red de cable o fibra óptica;20,4
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;662.586
País Vasco;Conexión de banda ancha por ADSL;50,3
País Vasco;Conexión de banda ancha por red de cable o fibra óptica;38
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;83.941
Rioja, La;Conexión de banda ancha por ADSL;57,4
Rioja, La;Conexión de banda ancha por red de cable o fibra óptica;29,3
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;21.128
Ceuta;Conexión de banda ancha por ADSL;55,4
Ceuta;Conexión de banda ancha por red de cable o fibra óptica;33,2
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;17.838
Melilla;Conexión de banda ancha por ADSL;45,8
Melilla;Conexión de banda ancha por red de cable o fibra óptica;28
