Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;11.715.547
Total nacional;Conexión de banda ancha por ADSL;66,2
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;20,9
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.970.350
Andalucía;Conexión de banda ancha por ADSL;66,6
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;16,8
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;329.266
Aragón;Conexión de banda ancha por ADSL;73,1
Aragón;Conexión de banda ancha por red de cable o fibra óptica;15,7
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;283.079
Asturias, Principado de;Conexión de banda ancha por ADSL;49,4
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;37,4
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;299.151
Balears, Illes;Conexión de banda ancha por ADSL;73,2
Balears, Illes;Conexión de banda ancha por red de cable o fibra óptica;17,8
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;530.994
Canarias;Conexión de banda ancha por ADSL;69,3
Canarias;Conexión de banda ancha por red de cable o fibra óptica;14,8
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;158.286
Cantabria;Conexión de banda ancha por ADSL;60,8
Cantabria;Conexión de banda ancha por red de cable o fibra óptica;27,6
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;583.715
Castilla y León;Conexión de banda ancha por ADSL;65,7
Castilla y León;Conexión de banda ancha por red de cable o fibra óptica;20,1
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;440.097
Castilla-La Mancha;Conexión de banda ancha por ADSL;74,9
Castilla-La Mancha;Conexión de banda ancha por red de cable o fibra óptica;12,7
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.959.012
Cataluña;Conexión de banda ancha por ADSL;74,7
Cataluña;Conexión de banda ancha por red de cable o fibra óptica;15,2
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.233.336
Comunitat Valenciana;Conexión de banda ancha por ADSL;61,4
Comunitat Valenciana;Conexión de banda ancha por red de cable o fibra óptica;19,7
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;229.154
Extremadura;Conexión de banda ancha por ADSL;73,4
Extremadura;Conexión de banda ancha por red de cable o fibra óptica;6,0
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;641.457
Galicia;Conexión de banda ancha por ADSL;58,1
Galicia;Conexión de banda ancha por red de cable o fibra óptica;26,8
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.828.302
Madrid, Comunidad de;Conexión de banda ancha por ADSL;65,7
Madrid, Comunidad de;Conexión de banda ancha por red de cable o fibra óptica;29,9
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;336.660
Murcia, Región de;Conexión de banda ancha por ADSL;55,6
Murcia, Región de;Conexión de banda ancha por red de cable o fibra óptica;17,7
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;166.244
Navarra, Comunidad Foral de;Conexión de banda ancha por ADSL;68,6
Navarra, Comunidad Foral de;Conexión de banda ancha por red de cable o fibra óptica;20,6
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;610.772
País Vasco;Conexión de banda ancha por ADSL;53,9
País Vasco;Conexión de banda ancha por red de cable o fibra óptica;37,2
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;77.186
Rioja, La;Conexión de banda ancha por ADSL;68,7
Rioja, La;Conexión de banda ancha por red de cable o fibra óptica;17,1
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;21.039
Ceuta;Conexión de banda ancha por ADSL;71,1
Ceuta;Conexión de banda ancha por red de cable o fibra óptica;15,3
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;17.446
Melilla;Conexión de banda ancha por ADSL;46,2
Melilla;Conexión de banda ancha por red de cable o fibra óptica;18,4
