;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;Conexión de banda ancha por ADSL;Conexión de banda ancha por red de cable o fibra óptica;;;;
Andalucía;2.331.247;45,9;40,5;;;;
Aragón;404.247;43,8;50,4;;;;
Asturias, Principado de;313.007;36;54,1;;;;
Balears, Illes;349.297;42,6;52,2;;;;
Canarias;613.034;46;43,2;;;;
Cantabria;181.320;43,7;48,4;;;;
Castilla y León;672.259;43,4;44,8;;;;
Castilla-La Mancha;557.987;48,3;35,4;;;;
Cataluña;2.150.128;44;51,5;;;;
Comunitat Valenciana;1.444.512;40;46,9;;;;
Extremadura;289.925;51,2;28,6;;;;
Galicia;747.846;45,6;41,6;;;;
Madrid, Comunidad de;2.051.858;32,6;68,9;;;;
Murcia, Región de;411.368;33,9;43;;;;
Navarra, Comunidad Foral de;195.426;49,7;43,7;;;;
País Vasco;692.850;34,8;56,9;;;;
Rioja, La;88.833;42,4;46;;;;
Ceuta;18.649;41,1;55,4;;;;
Melilla;22.202;30,4;65,3;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
