Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;15.042.754
Total nacional;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;85,2
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.577.826
Andalucía;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;83
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;434.126
Aragón;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;85,7
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;359.223
Asturias, Principado de;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;79,8
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;386.248
Balears, Illes;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;90
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;711.852
Canarias;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;86,6
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;190.291
Cantabria;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;83,4
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;753.176
Castilla y León;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;78,3
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;599.613
Castilla-La Mancha;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;82
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.487.158
Cataluña;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;87,3
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.614.707
Comunitat Valenciana;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;85,8
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;333.511
Extremadura;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;77
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;858.536
Galicia;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;76,2
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.208.050
Madrid, Comunidad de;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;91,9
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;445.890
Murcia, Región de;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;84,3
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;210.783
Navarra, Comunidad Foral de;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;88,2
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;724.674
País Vasco;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;87,9
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;102.703
Rioja, La;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;81,3
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;17.058
Ceuta;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;85,4
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;27.330
Melilla;Conexión de banda ancha por ADSL, red de cable o fibra óptica, vía satélite, WiFi público o WiMax;80,1
