;Dolor espalda crónico cervical;Dolor espalda crónico lumbar
;Dolor_espalda_cervical;Dolor_espalda_lumbar
Total;14,57;18,5
Andalucía;17,48;20,17
Aragón;11,83;16,43
Asturias, Principado de;30,8;33,78
Balears, Illes;13,54;16,04
Canarias;12,16;15,31
Cantabria;8,15;14,49
Castilla y León;15,91;16,01
Castilla-La Mancha;9,14;16,56
Cataluña;17,07;20,97
Comunitat Valenciana;10,18;15,14
Extremadura;12,97;16,88
Galicia;19,5;27,63
Madrid, Comunidad de;11,4;14,85
Murcia, Región de;9,94;11,04
Navarra, Comunidad Foral de;13,86;17,64
País Vasco;14,85;20,65
Rioja, La;10,93;18,76
Ceuta;9,94;12,69
Melilla;6,7;8,08
