CCAA;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;Viviendas con conexión de banda ancha;Conexión de banda ancha por ADSL;Conexión de banda ancha por red de cable o fibra óptica;Otras conexiones fijas de banda ancha (vía satélite, WiFi público o WiMax);Conexión móvil de banda ancha a través de un dispositivo de mano  (teléfono móvil de últimas generaciones -al menos 3G-, iPod,...);Conexión móvil de banda ancha vía modem USB ó tarjeta (en portátiles, p.ej.);Viviendas con conexión de banda estrecha;Conexión de banda estrecha por llamada telefónica a través de su línea de teléfono convencional (módem) o RDSI;Conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-)
Total nacional;13.535.995;99,8;41,7;49,3;7,4;76,1;7,6;1,6;0,9;0,9
Andalucía;2.331.247;99,6;45,9;40,5;6,2;79,4;4,5;1,0;0,6;0,5
Aragón;404.247;99,7;43,8;50,4;5,1;74,5;14,1;3,5;1,6;2,1
Asturias, Principado de;313.007;100,0;36,0;54,1;4,5;71,6;7,4;1,1;0,4;0,7
Balears, Illes;349.297;99,6;42,6;52,2;14,3;81,4;14,4;1,6;1,0;0,9
Canarias;613.034;99,6;46,0;43,2;4,8;82,2;4,8;1,6;1,4;0,2
Cantabria;181.320;99,7;43,7;48,4;4,6;71,7;10,4;0,9;0,7;0,2
Castilla y León;672.259;99,7;43,4;44,8;6,3;77,3;6,8;1,7;0,9;1,2
Castilla-La Mancha;557.987;99,9;48,3;35,4;7,1;80,5;4,5;0,9;0,5;0,6
Cataluña;2.150.128;99,9;44,0;51,5;15,3;75,0;9,6;2,1;1,0;1,3
Comunitat Valenciana;1.444.512;100,0;40,0;46,9;6,6;71,7;7,5;1,5;0,6;1,2
Extremadura;289.925;100,0;51,2;28,6;5,2;81,2;6,1;1,0;0,5;0,5
Galicia;747.846;99,8;45,6;41,6;6,0;75,0;7,4;2,4;1,4;1,2
Madrid, Comunidad de;2.051.858;100,0;32,6;68,9;3,3;73,2;7,6;1,5;0,9;1,0
Murcia, Región de;411.368;99,8;33,9;43,0;7,9;82,4;7,1;1,8;0,6;1,4
Navarra, Comunidad Foral de;195.426;99,7;49,7;43,7;17,9;70,8;20,3;1,7;1,1;0,8
País Vasco;692.850;99,6;34,8;56,9;4,1;75,2;7,6;1,6;1,6;0,1
Rioja, La;88.833;99,9;42,4;46,0;5,9;75,4;6,1;1,9;1,0;1,0
Ceuta;18.649;100,0;41,1;55,4;3,1;82,5;6,2;0,0;0,0;0,0
Melilla;22.202;98,7;30,4;65,3;7,1;64,9;5,5;1,3;0,0;1,3
