,Declaran acceso_internet_2017,ADSL,cable_fibra optica,otras conexiones,conexion movil_dispositivo_mano,movil_USB,index,Alguna Dificultad Conc,Mucha Dificultad Conc,Diabetes,Alguna Dificultad Ver,Mucha Dificultad Ver,Dolor espalda cronico cervical,Dolor espalda cronico lumbar,Infarto_miocardio,Restricc_AVD_Dolor,Sobrepeso,Migraña,Depresion,Ansiedad,Otros probl Salud_mental,Salud_mental: Media,Buena Salud,Salud Regular,Tension: alta,Renta_media_hogar,Tasa_paro,Indice_masculinidad,Edad_25_59 años,Educacion_superior
0,2331247,45.9,40.5,6.2,79.4,4.5,Andalucía,16.02,5.21,8.25,14.64,2.8,17.48,20.17,0.65,18.54,37.53,8.9,7.94,7.43,2.57,1.92,16.7,16.7,18.97,13977,25.5,0.97,51.06,29.6
1,404247,43.8,50.4,5.1,74.5,14.1,Aragón,19.91,3.22,7.9,10.71,1.43,11.83,16.43,0.09,12.08,36.8,6.09,5.41,4.84,2.27,0.93,18.7,18.7,22.27,17672,11.7,0.97,49.0,36.6
2,313007,36.0,54.1,4.5,71.6,7.4,"Asturias, Principado de",14.69,4.08,8.66,12.75,1.17,30.8,33.78,0.38,13.74,37.44,12.88,13.4,14.89,2.6,1.5,19.5,19.5,22.78,17343,13.7,0.91,48.86,41.6
3,349297,42.6,52.2,14.3,81.4,14.4,"Balears, Illes",9.48,1.09,4.85,5.74,0.74,13.54,16.04,0.23,9.61,31.08,7.33,3.88,6.56,0.78,1.0,17.4,17.4,11.36,19554,12.4,0.99,53.87,31.2
4,613034,46.0,43.2,4.8,82.2,4.8,Canarias,17.24,2.16,10.99,11.29,0.89,12.16,15.31,0.49,14.9,37.2,5.71,5.57,6.78,1.66,1.09,25.2,25.2,18.72,13546,23.5,0.98,54.7,29.6
5,181320,43.7,48.4,4.6,71.7,10.4,Cantabria,5.78,2.4,5.95,10.39,1.44,8.15,14.49,0.89,4.89,36.24,4.33,7.83,8.27,2.45,0.91,11.8,11.8,22.91,16400,13.6,0.94,49.9,40.4
6,672259,43.4,44.8,6.3,77.3,6.8,Castilla y León,20.65,2.51,7.42,12.66,1.2,15.91,16.01,0.95,14.22,39.16,10.47,6.27,6.23,1.87,1.35,20.7,20.7,20.08,14305,20.8,0.97,47.78,27.6
7,557987,48.3,35.4,7.1,80.5,4.5,Castilla-La Mancha,22.02,3.67,7.53,14.64,2.09,9.14,16.56,0.83,19.11,34.74,14.58,7.05,6.15,1.22,1.06,21.7,21.7,22.69,17264,14.1,1.0,50.22,35.3
8,2150128,44.0,51.5,15.3,75.0,9.6,Cataluña,15.54,4.79,7.01,10.78,1.17,17.07,20.97,0.59,14.03,36.66,7.28,5.74,6.67,2.25,1.21,17.8,17.8,19.28,19791,13.4,0.96,50.42,39.3
9,1444512,40.0,46.9,6.6,71.7,7.5,Ceuta,11.26,3.4,7.91,1.01,0.17,9.94,12.69,1.81,23.28,41.41,12.5,4.43,4.03,1.58,0.68,15.5,15.5,23.45,14991,22.5,1.03,49.97,25.2
10,289925,51.2,28.6,5.2,81.2,6.1,Comunitat Valenciana,11.89,2.49,8.02,9.62,1.8,10.18,15.14,0.91,13.8,36.16,5.2,5.55,7.0,1.76,1.58,21.6,21.6,19.81,15038,18.2,0.97,50.4,33.3
11,747846,45.6,41.6,6.0,75.0,7.4,Extremadura,15.63,3.93,9.19,8.7,2.13,12.97,16.88,0.29,6.57,38.12,6.09,5.72,6.34,1.94,0.59,19.6,19.6,20.53,12376,26.2,0.98,49.68,26.5
12,2051858,32.6,68.9,3.3,73.2,7.6,Galicia,16.57,1.87,9.12,10.55,0.78,19.5,27.63,1.08,5.68,41.4,14.37,12.93,10.35,2.77,0.73,28.6,28.6,24.24,16758,15.7,0.93,48.64,36.5
13,411368,33.9,43.0,7.9,82.4,7.1,"Madrid, Comunidad de",12.22,2.47,7.39,12.25,2.05,11.4,14.85,0.72,17.58,35.15,8.06,4.72,4.03,1.83,1.21,15.3,15.3,18.73,19648,13.3,0.92,51.83,47.0
14,195426,49.7,43.7,17.9,70.8,20.3,Melilla,11.39,1.76,8.97,11.13,1.65,6.7,8.08,0.09,15.47,40.54,4.41,5.25,3.58,0.0,1.99,8.7,8.7,13.91,19500,27.6,1.03,48.41,28.6
15,692850,34.8,56.9,4.1,75.2,7.6,"Murcia, Región de",21.65,5.45,7.28,12.14,1.52,9.94,11.04,0.8,7.98,44.98,7.68,6.14,6.34,1.84,2.24,23.5,23.5,19.82,14041,18.0,1.0,51.13,29.9
16,88833,42.4,46.0,5.9,75.4,6.1,"Navarra, Comunidad Foral de",14.53,4.88,7.52,10.92,1.65,13.86,17.64,0.77,14.35,35.56,9.71,6.98,6.72,2.29,1.56,15.7,15.7,20.94,20094,10.2,0.98,48.97,45.5
17,18649,41.1,55.4,3.1,82.5,6.2,País Vasco,10.57,3.26,6.86,7.85,2.26,14.85,20.65,0.72,16.36,35.91,9.85,6.08,6.03,2.07,1.37,18.8,18.8,20.82,21760,11.3,0.95,48.92,49.7
18,22202,30.4,65.3,7.1,64.9,5.5,"Rioja, La",18.08,1.16,5.41,8.09,1.26,10.93,18.76,0.14,10.84,37.51,10.45,5.27,3.56,1.78,0.9,17.0,17,17.18,17490,12.0,0.97,49.3,37.9
19,13535995,41.7,49.3,7.4,76.1,7.6,Total nacional,15.27,3.52,7.8,11.57,1.75,14.57,18.5,0.69,14.56,37.07,8.52,6.68,6.74,2.08,1.36,19.2,19.2,19.81,16937,17.2,0.96,50.58,36.4
