,Declaran acceso_internet_2017,ADSL,cable_fibra optica,otras conexiones,conexion movil_dispositivo_mano,movil_USB,index,Depresion,Ansiedad,Otros probl Salud_mental,Salud_mental: Media
0,2331247,45.9,40.5,6.2,79.4,4.5,Andalucía,7.94,7.43,2.57,1.92
1,404247,43.8,50.4,5.1,74.5,14.1,Aragón,5.41,4.84,2.27,0.93
2,313007,36.0,54.1,4.5,71.6,7.4,"Asturias, Principado de",13.4,14.89,2.6,1.5
3,349297,42.6,52.2,14.3,81.4,14.4,"Balears, Illes",3.88,6.56,0.78,1.0
4,613034,46.0,43.2,4.8,82.2,4.8,Canarias,5.57,6.78,1.66,1.09
5,181320,43.7,48.4,4.6,71.7,10.4,Cantabria,7.83,8.27,2.45,0.91
6,672259,43.4,44.8,6.3,77.3,6.8,Castilla y León,6.27,6.23,1.87,1.35
7,557987,48.3,35.4,7.1,80.5,4.5,Castilla-La Mancha,7.05,6.15,1.22,1.06
8,2150128,44.0,51.5,15.3,75.0,9.6,Cataluña,5.74,6.67,2.25,1.21
9,1444512,40.0,46.9,6.6,71.7,7.5,Ceuta,4.43,4.03,1.58,0.68
10,289925,51.2,28.6,5.2,81.2,6.1,Comunitat Valenciana,5.55,7.0,1.76,1.58
11,747846,45.6,41.6,6.0,75.0,7.4,Extremadura,5.72,6.34,1.94,0.59
12,2051858,32.6,68.9,3.3,73.2,7.6,Galicia,12.93,10.35,2.77,0.73
13,411368,33.9,43.0,7.9,82.4,7.1,"Madrid, Comunidad de",4.72,4.03,1.83,1.21
14,195426,49.7,43.7,17.9,70.8,20.3,Melilla,5.25,3.58,0.0,1.99
15,692850,34.8,56.9,4.1,75.2,7.6,"Murcia, Región de",6.14,6.34,1.84,2.24
16,88833,42.4,46.0,5.9,75.4,6.1,"Navarra, Comunidad Foral de",6.98,6.72,2.29,1.56
17,18649,41.1,55.4,3.1,82.5,6.2,País Vasco,6.08,6.03,2.07,1.37
18,22202,30.4,65.3,7.1,64.9,5.5,"Rioja, La",5.27,3.56,1.78,0.9
19,13535995,41.7,49.3,7.4,76.1,7.6,Total nacional,6.68,6.74,2.08,1.36
