 ;Hombres;Mujeres;Índice masculinidad
Total;22896602;23826378;0,96
Andalucía;4133898;4250510;0,97
Aragón;645498;663230;0,97
Asturias, Principado de;490738;537506;0,91
Balears, Illes;561803;567105;0,99
Canarias;1054032;1073653;0,98
Cantabria;281564;298665;0,94
Castilla y León;1186363;1222801;0,97
Castilla-La Mancha;1014199;1012608;1
Cataluña;3730326;3869739;0,96
Comunitat Valenciana;2446383;2517320;0,97
Extremadura;531255;541608;0,98
Galicia;1300609;1401134;0,93
Madrid, Comunidad de;3147872;3430207;0,92
Murcia, Región de;740143;738366;1
Navarra, Comunidad Foral de;320469;327085;0,98
País Vasco;1068750;1130338;0,95
Rioja, La;155758;159917;0,97
Ceuta;43177;41967;1,03
Melilla;43765;42619;1,03
