;NADA  ;UN POCO  ;MODERADAMENTE;BASTANTE  ;MUCHO  
Total;66,00;13,79;10,55;6,51;3,15
Andalucía;63,93;12,06;9,43;8,67;5,91
Aragón;66,12;17,15;11,07;4,39;1,27
Asturias, Principado de;63,69;13,02;14,36;5,51;3,43
Balears, Illes;67,05;16,96;8,59;4,70;2,71
Canarias;73,71;6,31;10,35;5,70;3,93
Cantabria;71,90;5,22;15,69;4,98;2,21
Castilla y León;63,15;16,03;11,39;6,13;3,30
Castilla-La Mancha;62,28;21,04;9,00;5,76;1,92
Cataluña;64,61;14,82;11,29;7,12;2,16
Comunitat Valenciana;66,41;11,96;11,40;7,57;2,68
Extremadura;73,63;12,86;7,05;4,21;2,26
Galicia;57,81;16,60;17,60;7,14;0,84
Madrid, Comunidad de;67,53;14,93;9,07;5,38;3,09
Murcia, Región de;75,60;8,61;8,64;5,28;1,86
Navarra, Comunidad Foral de;72,42;13,28;5,92;2,90;5,49
País Vasco;68,63;14,97;8,76;4,91;2,72
Rioja, La;71,64;14,29;7,52;4,66;1,90
Ceuta;66,67;17,27;6,86;6,61;2,59
Melilla;68,41;21,45;5,06;2,21;2,87
