;SI ;NO 
TOTAL;14,56;85,44
ANDALUCÍA;18,54;81,46
ARAGÓN;12,08;87,92
ASTURIAS, PRINCIPADO DE;13,74;86,26
BALEARS, ILLES;9,61;90,39
CANARIAS;14,90;85,10
CANTABRIA;4,89;95,11
CASTILLA Y LEÓN;14,22;85,78
CASTILLA-LA MANCHA;19,11;80,89
CATALUÑA;14,03;85,97
COMUNITAT VALENCIANA;13,80;86,20
EXTREMADURA;6,57;93,43
GALICIA;5,68;94,32
MADRID, COMUNIDAD DE;17,58;82,42
MURCIA, REGIÓN DE;7,98;92,02
NAVARRA, COMUNIDAD FORAL DE;14,35;85,65
PAÍS VASCO;16,36;83,64
RIOJA, LA;10,84;89,16
CEUTA;23,28;76,72
MELILLA;15,47;84,53
